    | Name                                      | Type               | Params
96  | model.basicblock_list.4.relu2             | ReLU               | 0     
97  | model.basicblock_list.4.do2               | Dropout            | 0     
98  | model.basicblock_list.4.conv2             | MyConv1dPadSame    | 24.7 K
99  | model.basicblock_list.4.conv2.conv        | Conv1d             | 24.7 K
100 | model.basicblock_list.4.max_pool          | MyMaxPool1dPadSame | 0     
101 | model.basicblock_list.4.max_pool.max_pool | MaxPool1d          | 0     
102 | model.basicblock_list.4.se                | SE_Block           | 2.0 K 
103 | model.basicblock_list.4.se.squeeze        | AdaptiveAvgPool1d  | 0     
104 | model.basicblock_list.4.se.excitation     | Sequential         | 2.0 K 
105 | model.basicblock_list.4.se.excitation.0   | Linear             | 1.0 K 
106 | model.basicblock_list.4.se.excitation.1   | ReLU               | 0     
107 | model.basicblock_list.4.se.excitation.2   | Linear             | 1.0 K 
108 | model.basicblock_list.4.se.excitation.3   | Sigmoid            | 0     
109 | model.basicblock_list.5                   | BasicBlock         | 52.0 K
110 | model.basicblock_list.5.bn1               | BatchNorm1d        | 256   
111 | model.basicblock_list.5.relu1             | ReLU               | 0     
112 | model.basicblock_list.5.do1               | Dropout            | 0     
113 | model.basicblock_list.5.conv1             | MyConv1dPadSame    | 24.7 K
114 | model.basicblock_list.5.conv1.conv        | Conv1d             | 24.7 K
115 | model.basicblock_list.5.bn2               | BatchNorm1d        | 256   
116 | model.basicblock_list.5.relu2             | ReLU               | 0     
117 | model.basicblock_list.5.do2               | Dropout            | 0     
118 | model.basicblock_list.5.conv2             | MyConv1dPadSame    | 24.7 K
119 | model.basicblock_list.5.conv2.conv        | Conv1d             | 24.7 K
120 | model.basicblock_list.5.max_pool          | MyMaxPool1dPadSame | 0     
121 | model.basicblock_list.5.max_pool.max_pool | MaxPool1d          | 0     
122 | model.basicblock_list.5.se                | SE_Block           | 2.0 K 
123 | model.basicblock_list.5.se.squeeze        | AdaptiveAvgPool1d  | 0     
124 | model.basicblock_list.5.se.excitation     | Sequential         | 2.0 K 
125 | model.basicblock_list.5.se.excitation.0   | Linear             | 1.0 K 
126 | model.basicblock_list.5.se.excitation.1   | ReLU               | 0     
127 | model.basicblock_list.5.se.excitation.2   | Linear             | 1.0 K 
128 | model.basicblock_list.5.se.excitation.3   | Sigmoid            | 0     
129 | model.basicblock_list.6                   | BasicBlock         | 156 K 
130 | model.basicblock_list.6.bn1               | BatchNorm1d        | 256   
131 | model.basicblock_list.6.relu1             | ReLU               | 0     
132 | model.basicblock_list.6.do1               | Dropout            | 0     
133 | model.basicblock_list.6.conv1             | MyConv1dPadSame    | 49.4 K
134 | model.basicblock_list.6.conv1.conv        | Conv1d             | 49.4 K
135 | model.basicblock_list.6.bn2               | BatchNorm1d        | 512   
136 | model.basicblock_list.6.relu2             | ReLU               | 0     
137 | model.basicblock_list.6.do2               | Dropout            | 0     
138 | model.basicblock_list.6.conv2             | MyConv1dPadSame    | 98.6 K
139 | model.basicblock_list.6.conv2.conv        | Conv1d             | 98.6 K
140 | model.basicblock_list.6.max_pool          | MyMaxPool1dPadSame | 0     
141 | model.basicblock_list.6.max_pool.max_pool | MaxPool1d          | 0     
142 | model.basicblock_list.6.se                | SE_Block           | 8.2 K 
143 | model.basicblock_list.6.se.squeeze        | AdaptiveAvgPool1d  | 0     
144 | model.basicblock_list.6.se.excitation     | Sequential         | 8.2 K 
145 | model.basicblock_list.6.se.excitation.0   | Linear             | 4.1 K 
146 | model.basicblock_list.6.se.excitation.1   | ReLU               | 0     
147 | model.basicblock_list.6.se.excitation.2   | Linear             | 4.1 K 
148 | model.basicblock_list.6.se.excitation.3   | Sigmoid            | 0     
149 | model.basicblock_list.7                   | BasicBlock         | 206 K 
150 | model.basicblock_list.7.bn1               | BatchNorm1d        | 512   
151 | model.basicblock_list.7.relu1             | ReLU               | 0     
152 | model.basicblock_list.7.do1               | Dropout            | 0     
153 | model.basicblock_list.7.conv1             | MyConv1dPadSame    | 98.6 K
154 | model.basicblock_list.7.conv1.conv        | Conv1d             | 98.6 K
155 | model.basicblock_list.7.bn2               | BatchNorm1d        | 512   
156 | model.basicblock_list.7.relu2             | ReLU               | 0     
157 | model.basicblock_list.7.do2               | Dropout            | 0     
158 | model.basicblock_list.7.conv2             | MyConv1dPadSame    | 98.6 K
159 | model.basicblock_list.7.conv2.conv        | Conv1d             | 98.6 K
160 | model.basicblock_list.7.max_pool          | MyMaxPool1dPadSame | 0     
161 | model.basicblock_list.7.max_pool.max_pool | MaxPool1d          | 0     
162 | model.basicblock_list.7.se                | SE_Block           | 8.2 K 
163 | model.basicblock_list.7.se.squeeze        | AdaptiveAvgPool1d  | 0     
164 | model.basicblock_list.7.se.excitation     | Sequential         | 8.2 K 
165 | model.basicblock_list.7.se.excitation.0   | Linear             | 4.1 K 
166 | model.basicblock_list.7.se.excitation.1   | ReLU               | 0     
167 | model.basicblock_list.7.se.excitation.2   | Linear             | 4.1 K 
168 | model.basicblock_list.7.se.excitation.3   | Sigmoid            | 0     
169 | model.final_bn                            | BatchNorm1d        | 512   
170 | model.final_relu                          | ReLU               | 0     
171 | model.main_clf                            | Linear             | 514   
-----------------------------------------------------------------------------------
486 K     Trainable params
0         Non-trainable params
486 K     Total params
1.945     Total estimated model params size (MB)
