source,target,method,sbp_g0,sbp_g1,sbp_g2,sbp_g3,dbp_g0,dbp_g1,dbp_g2,dbp_g3
bcg,ppgbp,ours,38.9 \pm 9.61,19.1 \pm 6.65,9.14 \pm 2.03,27.37 \pm 5.75,25.08 \pm 5.29,9.45 \pm 2.06,7.02 \pm 1.25,12.04 \pm 2.78
bcg,sensors,ours,38.29 \pm 5.52,17.98 \pm 5.09,7.43 \pm 4.19,30.69 \pm 5.2,16.46 \pm 3.31,13.09 \pm 2.99,9.77 \pm 2.19,9.96 \pm 0.43
ppgbp,bcg,ours,35.39 \pm 4.9,9.45 \pm 2.01,9.89 \pm 1.83,26.06 \pm 5.33,18.73 \pm 7.39,8.39 \pm 3.42,8.07 \pm 2.21,9.37 \pm 4.3
ppgbp,sensors,ours,28.79 \pm 6.29,11.83 \pm 3.28,14.77 \pm 4.65,39.6 \pm 3.5,13.61 \pm 3.32,10.69 \pm 1.93,8.48 \pm 0.88,9.89 \pm 0.71
sensors,bcg,ours,38.68 \pm 10.71,13.68 \pm 4.68,6.94 \pm 0.56,21.23 \pm 4.82,6.28 \pm 2.35,6.0 \pm 1.82,10.68 \pm 1.78,14.68 \pm 3.55
sensors,ppgbp,ours,37.32 \pm 6.18,13.89 \pm 5.25,10.04 \pm 1.61,33.53 \pm 5.1,25.13 \pm 3.98,8.29 \pm 2.23,7.4 \pm 0.84,13.6 \pm 3.15
