source,target,method,sbp_g0,sbp_g1,sbp_g2,sbp_g3,dbp_g0,dbp_g1,dbp_g2,dbp_g3
bcg,ppgbp,ours,40.19 \pm 2.61,16.63 \pm 2.48,6.66 \pm 1.61,29.62 \pm 4.16,17.18 \pm 6.74,4.86 \pm 0.55,7.75 \pm 0.71,17.36 \pm 1.49
bcg,sensors,ours,35.75 \pm 3.48,14.91 \pm 3.51,8.04 \pm 2.53,33.09 \pm 2.78,7.86 \pm 2.91,6.0 \pm 1.89,6.73 \pm 0.41,11.3 \pm 2.08
ppgbp,bcg,ours,35.54 \pm 8.91,12.55 \pm 3.87,6.15 \pm 1.13,21.05 \pm 3.78,16.8 \pm 2.17,6.79 \pm 1.1,7.08 \pm 1.14,6.74 \pm 3.07
ppgbp,sensors,ours,38.7 \pm 2.96,17.2 \pm 3.21,6.61 \pm 1.02,30.66 \pm 2.57,6.23 \pm 2.14,5.11 \pm 0.77,6.83 \pm 0.42,12.23 \pm 0.66
sensors,bcg,ours,31.53 \pm 9.29,9.46 \pm 2.01,8.61 \pm 2.84,24.84 \pm 5.48,10.75 \pm 5.51,5.6 \pm 1.42,8.74 \pm 1.31,10.74 \pm 5.01
sensors,ppgbp,ours,38.85 \pm 4.68,13.69 \pm 1.08,7.34 \pm 1.25,32.36 \pm 3.14,20.28 \pm 5.01,6.04 \pm 0.85,6.56 \pm 0.65,14.94 \pm 1.73
