source,target,method,sbp_g0,sbp_g1,sbp_g2,sbp_g3,dbp_g0,dbp_g1,dbp_g2,dbp_g3
bcg,ppgbp,ours,40.64 \pm 8.99,19.69 \pm 6.81,9.37 \pm 4.06,27.3 \pm 6.8,24.05 \pm 5.55,9.19 \pm 3.1,6.82 \pm 1.25,12.47 \pm 2.89
bcg,sensors,ours,43.2 \pm 6.9,22.06 \pm 6.52,7.49 \pm 2.66,26.18 \pm 5.93,18.58 \pm 3.38,15.06 \pm 3.26,11.32 \pm 2.47,10.23 \pm 0.7
ppgbp,bcg,ours,35.45 \pm 3.11,11.74 \pm 1.62,11.73 \pm 7.15,28.24 \pm 7.21,18.22 \pm 6.74,7.02 \pm 2.31,7.26 \pm 1.06,6.87 \pm 3.02
ppgbp,sensors,ours,26.04 \pm 8.18,11.57 \pm 3.81,16.57 \pm 6.67,41.58 \pm 5.95,12.79 \pm 2.05,10.19 \pm 1.14,8.0 \pm 0.64,10.04 \pm 0.75
sensors,bcg,ours,35.56 \pm 10.7,11.1 \pm 4.67,8.29 \pm 2.17,24.1 \pm 4.87,5.76 \pm 1.83,6.25 \pm 1.9,11.1 \pm 1.8,14.83 \pm 3.27
sensors,ppgbp,ours,48.0 \pm 7.48,25.1 \pm 3.47,8.38 \pm 1.92,21.58 \pm 5.77,17.5 \pm 2.33,6.03 \pm 1.55,8.79 \pm 1.14,18.55 \pm 2.94
