source,target,method,sbp_g0,sbp_g1,sbp_g2,sbp_g3,dbp_g0,dbp_g1,dbp_g2,dbp_g3
bcg,ppgbp,ours,36.04 \pm 5.87,12.27 \pm 4.15,9.79 \pm 2.39,34.81 \pm 2.28,19.54 \pm 7.69,6.21 \pm 1.51,7.33 \pm 0.81,15.54 \pm 2.54
bcg,sensors,ours,34.25 \pm 4.83,12.89 \pm 3.91,10.36 \pm 2.38,35.22 \pm 2.85,9.17 \pm 3.54,7.22 \pm 2.49,7.25 \pm 0.9,11.21 \pm 2.3
ppgbp,bcg,ours,32.28 \pm 5.32,9.9 \pm 4.33,9.35 \pm 2.08,25.66 \pm 2.6,11.84 \pm 3.1,5.82 \pm 1.15,8.42 \pm 1.33,10.1 \pm 2.79
ppgbp,sensors,ours,36.7 \pm 2.23,15.82 \pm 1.29,8.1 \pm 1.22,32.1 \pm 1.6,8.53 \pm 2.22,6.27 \pm 1.05,6.63 \pm 0.19,11.05 \pm 1.48
sensors,bcg,ours,31.4 \pm 4.89,9.1 \pm 3.59,8.88 \pm 1.61,26.81 \pm 2.67,10.98 \pm 5.77,6.06 \pm 1.25,8.2 \pm 1.88,10.35 \pm 5.56
sensors,ppgbp,ours,43.77 \pm 9.04,17.29 \pm 3.1,6.93 \pm 0.9,28.45 \pm 3.3,22.59 \pm 8.04,6.34 \pm 1.74,8.03 \pm 1.13,15.55 \pm 4.06
