method,source,target,spdp_mean,spdp_std
zeroshot,bcg,bcg,27.5,20.8
fullfinetuning,bcg,ppgbp,24.52,1.37
linearprobing,bcg,ppgbp,25.89,0.51
scratch,bcg,ppgbp,24.6,1.57
zeroshot,bcg,ppgbp,36.72,15.86
fullfinetuning,bcg,sensors,26.28,2.63
linearprobing,bcg,sensors,24.73,1.54
scratch,bcg,sensors,25.69,2.43
zeroshot,bcg,sensors,30.06,13.13
fullfinetuning,ppgbp,bcg,17.41,3.11
linearprobing,ppgbp,bcg,17.1,3.62
scratch,ppgbp,bcg,16.55,2.7
zeroshot,ppgbp,bcg,30.76,21.83
zeroshot,ppgbp,ppgbp,30.85,21.14
fullfinetuning,ppgbp,sensors,25.64,2.53
linearprobing,ppgbp,sensors,25.61,2.14
scratch,ppgbp,sensors,25.74,2.39
zeroshot,ppgbp,sensors,34.21,13.28
fullfinetuning,sensors,bcg,16.08,3.25
linearprobing,sensors,bcg,17.04,4.59
scratch,sensors,bcg,17.9,3.02
zeroshot,sensors,bcg,17.38,6.54
fullfinetuning,sensors,ppgbp,24.46,1.66
linearprobing,sensors,ppgbp,25.6,1.74
scratch,sensors,ppgbp,24.39,1.45
zeroshot,sensors,ppgbp,24.89,0.88
zeroshot,sensors,sensors,22.82,1.19
