source,target,method,sbp_g0,sbp_g1,sbp_g2,sbp_g3,dbp_g0,dbp_g1,dbp_g2,dbp_g3
bcg,ppgbp,ours,41.04 \pm 4.57,16.46 \pm 5.52,8.36 \pm 0.72,29.27 \pm 4.87,20.79 \pm 4.34,7.35 \pm 2.11,7.87 \pm 0.71,14.71 \pm 2.74
bcg,sensors,ours,36.7 \pm 5.29,16.13 \pm 5.33,8.97 \pm 2.41,32.37 \pm 6.4,6.09 \pm 0.88,5.01 \pm 0.48,6.78 \pm 0.13,12.18 \pm 1.42
ppgbp,bcg,ours,33.24 \pm 8.18,9.97 \pm 2.93,9.23 \pm 1.95,25.75 \pm 2.68,12.37 \pm 3.83,6.15 \pm 1.22,8.04 \pm 1.67,9.33 \pm 4.14
ppgbp,sensors,ours,37.41 \pm 3.87,16.28 \pm 4.39,8.15 \pm 1.47,31.78 \pm 4.53,7.47 \pm 2.09,5.61 \pm 0.88,6.66 \pm 0.26,11.58 \pm 1.2
sensors,bcg,ours,33.86 \pm 8.61,8.87 \pm 1.0,8.71 \pm 0.87,26.49 \pm 7.34,13.24 \pm 3.49,5.97 \pm 1.69,7.71 \pm 1.59,9.25 \pm 4.93
sensors,ppgbp,ours,38.21 \pm 4.24,14.24 \pm 3.17,8.22 \pm 1.65,31.38 \pm 3.92,21.26 \pm 5.61,6.67 \pm 1.15,6.99 \pm 1.03,14.27 \pm 1.41
