source,target,method,sbp_g0,sbp_g1,sbp_g2,sbp_g3,dbp_g0,dbp_g1,dbp_g2,dbp_g3
bcg,ppgbp,ours,37.72 \pm 12.57,19.83 \pm 7.52,10.57 \pm 7.91,28.2 \pm 10.06,20.08 \pm 9.87,8.79 \pm 2.1,7.55 \pm 2.05,14.6 \pm 3.5
bcg,sensors,ours,40.19 \pm 11.91,20.83 \pm 7.34,10.37 \pm 7.64,29.45 \pm 10.92,16.9 \pm 4.57,13.53 \pm 3.85,10.42 \pm 2.59,9.98 \pm 0.64
ppgbp,bcg,ours,34.59 \pm 5.05,12.31 \pm 3.23,14.2 \pm 8.15,28.09 \pm 11.1,17.87 \pm 4.58,6.83 \pm 1.9,6.98 \pm 1.12,5.98 \pm 2.81
ppgbp,sensors,ours,36.27 \pm 12.29,19.31 \pm 4.8,11.04 \pm 8.73,32.4 \pm 10.88,17.99 \pm 5.47,14.66 \pm 4.18,11.39 \pm 2.51,10.43 \pm 0.45
sensors,bcg,ours,39.7 \pm 10.21,16.28 \pm 6.24,6.97 \pm 2.01,18.13 \pm 3.31,6.76 \pm 2.27,5.62 \pm 1.67,9.92 \pm 1.85,12.83 \pm 4.21
sensors,ppgbp,ours,50.12 \pm 3.68,24.73 \pm 4.9,7.86 \pm 1.68,21.6 \pm 6.73,15.64 \pm 4.21,5.15 \pm 0.58,10.01 \pm 2.08,20.4 \pm 3.13
